파일명,캐릭터,단계,대사,발화보정
550p9a.mp3,ratio,s2,"건반을 눌러 소리의 떨림을 느껴 보세요! 높은 음일수록 현의 길이가 짧고, 현이 빠르게 떨려요. 여덟 건반을 모두 눌러 소리를 들어 보세요.",
1xu7nwv.mp3,ratio,s3,"이제 도와 다른 음의 어울림을 자유롭게 탐색해 봐요! 건반을 자유롭게 눌러보면서 도와 함께 울리는 소리를 듣고, 물결 무늬를 관찰한 다음, 별점 판에 점수를 매겨 보세요. 일곱 음을 모두 평가하면 다음으로 갈 수 있어요.","이제 도와 다른 음의 어울림을 자유롭게 탐색해 봐요! 건반을 자유롭게 눌러보면서, 도와 함께 울리는 소리를 듣고, 물결 무늬를 관찰한 다음, 별점 판에 점수를 매겨 보세요. 일곱 음을 모두 평가하면 다음으로 갈 수 있어요."
x55yic.mp3,ratio,s5,"음정 표 완성! 도부터 도′까지 다 들어봤어요. 1 대 2, 2 대 3, 3 대 4처럼 비가 간단할수록 두 소리가 더 잘 어울려요!",
13cnj9r.mp3,ratio,s6,잘 어울리는 화음 속에 간단한 비가 숨어 있다는 것까지 찾아냈어요. 그런데 왜 하필 간단한 비여야 잘 어울릴까요? 떨림은 너무 빨라서 눈에 보이지 않아요. 그래서 아주 느리게 늘려 볼게요. 느리게 늘린 떨림이 바로 리듬이에요. 북과 트라이앵글로 그 비밀을 눈으로 보고 귀로 들어 봐요.,
g8b99z.mp3,ratio,s7,"먼저 아무것도 알려 주지 않고 리듬을 들려줄게요. 북만, 트라이앵글만, 그리고 함께 들어 보고 두 소리가 잘 맞아떨어지는지 느껴 보세요.",
15aunvy.mp3,ratio,s7b,"이번에는 다른 리듬이에요. 아까처럼 먼저 귀로 들어 보고, 칸을 세어 이 리듬에 숨은 비를 찾아보세요.",
1hop5uj.mp3,ratio,s7c,"세 리듬을 차례로 들어 보세요. 두 소리가 다시 만나기까지 몇 칸이 걸리는지 견주어 보면, 왜 간단한 비가 잘 어울리는지 보일 거예요.",
1ipmsln.mp3,ratio,s8,"줄을 길게, 짧게 조절해 보세요! 줄이 길수록 천천히 떨려 낮은 소리, 짧을수록 빨리 떨려 높은 소리가 나요.",
is7nes.mp3,ratio,s9,함께 늘리기! 두 줄을 같은 배율로 함께 늘이거나 줄여 보세요. 줄이 길어지고 짧아져도 변하지 않는 것은 무엇일까요?,
u4u2rf.mp3,ratio,s10,"라 음 440헤르츠는 세계가 함께 약속한 악기 조율 기준음이에요. 라 줄이 72센티미터일 때, 시 줄은 몇 센티미터일까요? 이번에는 계산하지 말고 귀로 찾아 보세요. 슬라이더를 움직이면 줄 소리가 따라 나와요. 목표 소리와 같아지는 자리를 찾은 다음, 눈금이 몇 칸인지 읽어 보세요.",
2nm86q.mp3,ratio,s11,"라 줄이 72센티미터일 때, 파′ 줄은 몇 센티미터일까요? 이번에는 계산하지 말고 귀로 찾아 보세요. 슬라이더를 움직이면 줄 소리가 따라 나와요. 목표 소리와 같아지는 자리를 찾은 다음, 눈금이 몇 칸인지 읽어 보세요.",
1mstwfe.mp3,ratio,s12,"라 줄이 72센티미터일 때, 솔′ 줄은 몇 센티미터일까요? 이번에는 계산하지 말고 귀로 찾아 보세요. 슬라이더를 움직이면 줄 소리가 따라 나와요. 목표 소리와 같아지는 자리를 찾은 다음, 눈금이 몇 칸인지 읽어 보세요.",
17ewzd.mp3,ratio,s13,"이번에는 귀 대신 칸으로 구해 봐요. 미′ 줄은 3칸 중 2칸이에요. 72센티미터를 3등분하면 한 칸은 몇 센티미터일까요? 한 칸을 먼저 구하고, 그 다음 2칸의 길이를 구해 보세요.",
h9fqed.mp3,ratio,s14,"이번에는 귀 대신 칸으로 구해 봐요. 도′ 줄은 6칸 중 5칸이에요. 72센티미터를 6등분하면 한 칸은 몇 센티미터일까요? 한 칸을 먼저 구하고, 그 다음 5칸의 길이를 구해 보세요.",
xdaq7j.mp3,ratio,s15,내 말로 정리! 잘 어울리는 소리의 비밀을 내 말로 한 줄 적어 보세요.,
1m5csmg.mp3,ratio,s17,소리의 비밀을 모두 찾아냈어요. 정말 대단해요!,
xn1hj6.mp3,ratio,s4a,"잠깐! 아직 별점을 안 준 음이 있어요. 각 음을 눌러 도와 함께 들어 보고, 별점을 매겨 주세요. 정답은 없어요, 내 귀가 기준이에요!","잠깐! 아직 별점을 안 준 음이 있어요. 각 음을 눌러, 도와 함께 들어 보고, 별점을 매겨 주세요. 정답은 없어요, 내 귀가 기준이에요!"
16wnnv2.mp3,ratio,s4b,"내가 매긴 별점을 모아 봤어요. 별을 비슷하게 준 음들끼리 모아 보면, 같은 방에 어떤 음들이 모이게 될까요?",
1q3rk6f.mp3,ratio,s4c,"별점이 방을 만들었어요! 점수가 높은 방의 음들을 눌러서 들어보고, 점차 점수가 낮은 방의 음도 들어보세요. 어떤 음들이 잘 어울리게 들리나요? 그 이유를 아래에서 골라 보세요.",
x2tpq4.mp3,ratio,s4d,발견! 비가 간단할수록 잘 어울려요. 이제 각 음의 진동수 비를 열어 봤어요. 내 방과 비교해 보세요!,
1i2ngti.mp3,ratio,h1,"귀로 찾았어요! 72센티미터를 9등분하면 한 칸이 8센티미터, 그 8칸이 64센티미터예요.",
11nlyjs.mp3,ratio,h2,"귀로 찾았어요! 72센티미터를 8등분하면 한 칸이 9센티미터, 그 5칸이 45센티미터예요.",
1mv4uy5.mp3,ratio,h3,"귀로 찾았어요! 72센티미터를 9등분하면 한 칸이 8센티미터, 그 5칸이 40센티미터예요.",
13shwcn.mp3,ratio,h4,좋아요! 72센티미터를 3등분했으니 한 칸은 24센티미터예요. 그럼 2칸은 몇 센티미터일까요?,
ot22ye.mp3,ratio,h4a,맞아요! 2칸이니까 48센티미터예요. 이번에는 같은 계산을 곱셈식 하나로 써 볼까요? 72센티미터에 어떤 분수를 곱하면 될까요?,
tmnig0.mp3,ratio,h5,좋아요! 72센티미터를 6등분했으니 한 칸은 12센티미터예요. 그럼 5칸은 몇 센티미터일까요?,
15slbyz.mp3,ratio,h5a,맞아요! 5칸이니까 60센티미터예요. 이번에는 같은 계산을 곱셈식 하나로 써 볼까요? 72센티미터에 어떤 분수를 곱하면 될까요?,
ikcb6f.mp3,ratio,s5a,"먼저 아주 잘 어울리는 완전음정 방과, 장음정 방으로 나눠 볼게요.",
c2xkpn.mp3,ratio,s5b,이제 장음정 방을 비가 간단한 방과 복잡한 방으로 다시 나눠요.,
pph3bx.mp3,ratio,s5c,기준 분류가 완성됐어요! 여러분이 별점으로 나눈 방과 비교해 보세요. 어떤 점이 같고 다른가요?,
de7s1z.mp3,ratio,c-secret,이제 색깔의 비밀을 문장으로 정리해 봐요. 낱말 카드를 놓아 빈칸을 채워 보세요.,
1nlghga.mp3,ratio,s-secret,이제 소리의 비밀을 문장으로 정리해 봐요. 낱말 카드를 놓아 빈칸을 채워 보세요.,
1u21yy4.mp3,ratio,s-polyfeel,"좋아요. 이제 칸을 보면서, 북과 트라이앵글이 각각 몇 칸마다 울리는지 세어 보세요.",
1tf41pn.mp3,ratio,s-poly23ok,"잘 찾았어요! 북은 두 칸마다, 트라이앵글은 세 칸마다 울렸어요. 그러니까 이 리듬에 숨은 비는 2 대 3이에요. 그런데 이 비, 어디선가 만나지 않았나요?",
1hcctzr.mp3,ratio,s-poly23link,"맞아요! 화음에서 도와 솔의 진동수 비가 2 대 3이었지요. 도가 두 번 떨리는 동안 솔은 세 번 떨려서, 짧은 주기로 자꾸 다시 만나요. 리듬에서 북과 트라이앵글이 여섯 칸마다 다시 만난 것과 똑같아요.",
1qed4g4.mp3,ratio,s-poly25ok,"잘 찾았어요! 북은 두 칸마다, 트라이앵글은 다섯 칸마다 울렸어요. 이 리듬에 숨은 비는 2 대 5예요. 이 비도 어디선가 만난 적이 있어요.",
1c927ke.mp3,ratio,s-poly25link,"맞아요! 색깔의 비밀에서 만든 노을빛 주황이 빨강 2, 노랑 5였지요. 같은 2 대 5가 색으로도 리듬으로도 나타나요. 비는 눈으로도 귀로도 만날 수 있어요.",
10kqs18.mp3,ratio,s-polywhy,"그래요! 비가 간단할수록 두 소리는 더 빨리 다시 만나요. 2 대 3은 여섯 칸마다, 2 대 5는 열 칸마다 만나고, 8 대 9는 열두 칸 안에서 한 번도 만나지 못해요. 진동수도 똑같아요. 그래서 간단한 비가 더 잘 어울리는 거예요. 이제 아래에서 12칸을 직접 묶어 확인해 봐요.",
1hmfg59.mp3,ratio,e-door,카드 네 장을 모두 모았어요! 카드에 적힌 숫자를 문제 순서대로 눌러 마지막 문을 열어 보세요.,
1ivrgf6.mp3,ratio,e-open,"1.618, 황금비를 찾았어요! 문이 열립니다!",
24sz8t.mp3,ratio,e-finale,"1.618, 황금비는 예로부터 가장 아름답다고 여겨진 비예요. 보티첼리의 비너스의 탄생 같은 명화에도, 해바라기 씨앗과 소라 껍데기에도 이 비가 숨어 있어요. 색과 소리에서 찾은 것처럼, 세상 곳곳에 비의 비밀이 숨어 있답니다. 긴 여정을 함께해 줘서 정말 고마워요!",
6pfxi4.mp3,ratio,intro,드디어 평가의 방이에요! 같은 색 만들기 다섯 문제로 비의 감각을 확인해 봐요. 문제를 풀어 가면 비밀 카드 네 장이 모여요. 카드의 숫자로 마지막 문을 열 수 있어요!,
4qzyti.mp3,ratio,q1,첫 번째 문제예요. 빨강과 노랑을 2 대 1로 섞어 진한 주황색을 만들어 보세요.,
hezbxq.mp3,ratio,q2,두 번째 문제예요. 이번엔 빨강과 노랑을 1 대 1로 섞어 주황색을 만들어 보세요.,
1512uaf.mp3,ratio,q3,세 번째 문제예요. 같은 주황색을 아까와 다른 양으로 다시 만들어 보세요. 비가 같으면 정말 같은 색이 나올까요?,
1hn8ad0.mp3,ratio,q4,네 번째 문제예요. 이번엔 빨강과 파랑을 2 대 1로 섞어 자주색을 만들어 보세요.,
q3v0lx.mp3,ratio,q5,마지막 문제예요. 같은 자주색을 또 다른 양으로 만들어 보세요. 양이 달라도 비가 같으면 같은 색이지요!,
163d8lg.mp3,ratio,card1,양이 달라도 비율이 같으면 같은 색! 첫 번째 비밀 카드예요. 카드의 숫자는 1이에요.,
1s65uqj.mp3,ratio,card2,"비를 읽을 때, 에 대한, 앞에 온 양이 기준량이에요! 두 번째 비밀 카드예요. 카드의 숫자는 6이에요.",
bm2yc9.mp3,ratio,card3,"색 문제를 풀고 있지만, 소리의 비밀에서 배운 것도 카드로 남겨요. 진동수의 비가 간단할수록 어울리는 화음! 세 번째 카드의 숫자는 1이에요.",
1u15ojt.mp3,ratio,card4,줄의 길이와 음높이는 서로 반대! 마지막 비밀 카드예요. 카드의 숫자는 8이에요.,
1qol5sr.mp3,signac,19,"지금 「양산을 든 여인」을 그리는 중인데, 보다시피 주황색 부분이 텅 비었어! 네가 점의 비로 이 주황을 채워 줄래?","지금 양산을 든 여인을 그리는 중인데, 보다시피 주황색 부분이 텅 비었어! 네가 점의 비로 이 주황을 채워 줄래?"
1r8tffb.mp3,ratio,m-intro,안녕하세요! 세 번째 지도의 비밀을 찾으러 오셨군요. 저는 비의 비밀 탐색 안내자 레시오예요.,
11v03s4.mp3,ratio,m-scale1,"지도 위에서 다리는 세 칸이에요. 1칸이 100m일 때, 실제 다리는 얼마나 될까요?","지도 위에서 다리는 세 칸이에요. 한 칸이 백 미터일 때, 실제 다리는 얼마나 될까요?"
fizp7v.mp3,ratio,m-zoom,배율 손잡이를 움직여 지도를 늘이고 줄여 보세요. 지도 위 길이가 변해도 실제 거리는 그대로예요. 무엇이 변하지 않는지 관찰해 봐요.,
1pliaac.mp3,ratio,m-scale2,"지도에 있는 산을 살펴봅시다. 삼각형 모양의 산 아래 밑변이 다섯 칸이에요. 1칸이 100m일 때, 실제 산 아래 거리는 얼마일까요?","지도에 있는 산을 살펴봅시다. 삼각형 모양의 산 아래 밑변이 다섯 칸이에요. 한 칸이 백 미터일 때, 실제 산 아래 거리는 얼마일까요?"
rqjrek.mp3,ratio,m-draw,"이번에는 반대로 해 봐요. 실제로 가로 300m, 세로 200m인 운동장을 지도에 그려야 해요. 지도의 한 칸은 실제 100m예요. 격자를 드래그해서 운동장을 그려 보세요.","이번에는 반대로 해 봐요. 실제로 가로 삼백 미터, 세로 이백 미터인 운동장을 지도에 그려야 해요. 지도의 한 칸은 실제 백 미터예요. 격자를 드래그해서 운동장을 그려 보세요."
6csdeb.mp3,eratos,m-movie,"젊은 벗이여! 만나서 반갑소. 나는 옛 그리스의 수학자, '에라토스테네스' 라오. 내가 신기한 소식을 하나 들었소.",
1g2onf8.mp3,eratos,m-comic1,"남쪽 도시 시에네에서는 여름 한낮, 정오가 되면 그림자가 하나도 생기지 않는다고 하오. 해가 바로 머리 꼭대기에 있어 깊은 우물 속까지 햇빛이 곧게 들어온다고 하오. 햇빛이 수직으로 곧게 들어와 그림자가 0도라는 뜻이지.",
14bo887.mp3,eratos,m-comic2,"그런데 같은 시각, 북쪽 도시 알렉산드리아에서는 막대에 그림자가 생긴단 말이오. 내가 그 기울기를 재어 보니 7.2도였소. 같은 시각인데, 어째서 한쪽에만 그림자가 생기는 것일까? 지구가 평평하다면 이런 일이 어떻게 생길 수 있겠소? 바로 지구가 둥글기 때문이지! 그래서 나는 지구가 둥근 원이라고 생각하기로 했소.",
1e5tp6v.mp3,eratos,m-comic3,"내가 지구를 다 걸어 잴 수는 없지 않겠소? 다만, 시에네와 알렉산드리아 두 도시의 거리는 내가 잴 수 있소. 그 거리는 800km였소.",
3l3h9p.mp3,eratos,m-comic4,두 도시 사이에서 벌어진 각도는 그림자의 각도 차이로 보면 7.2도였소. 지구가 둥근 원이라면 360도이니까 360을 7.2로 나누면 50이 나온다오. 그러니 7.2도 대 360도는 곧 1 대 50이라오. 그렇다면 1 : 50 = 800km : 지구의 둘레가 되지 않겠소? 이제 나와 함께 지구의 둘레를 구해 봅시다!,"두 도시 사이에서 벌어진 각도는 그림자의 각도 차이로 보면 칠 점 이 도였소. 지구가 둥근 원이라면 삼백육십 도이니까, 삼백육십을 칠 점 이로 나누면 오십이 나온다오. 그러니 칠 점 이 도 대 삼백육십 도는 곧 일 대 오십이라오. 그렇다면 일 대 오십은 팔백 킬로미터 대 지구의 둘레와 같지 않겠소? 이제 나와 함께 지구의 둘레를 구해 봅시다!"
vhpim9.mp3,eratos,m-prop,,
6of63g.mp3,ratio,m-reflect,"내 말로 정리해 봐요. 지도의 비밀, 축척을 한 줄로 적어 보세요.",
1jq7jum.mp3,ratio,m-secret,이제 지도의 비밀을 문장으로 정리해 봐요. 낱말 카드를 놓아 빈칸을 채워 보세요.,
25lj4q.mp3,ratio,m-finish,"와, 에라토스테네스와 함께 지구의 크기까지 재어 봤어요! 지도의 비밀을 모두 찾아냈답니다. 정말 대단해요! 허브로 돌아가 다음 탐험을 이어가요.",
15l7a64.mp3,ratio,c-intro,"안녕하세요! 첫 번째 색깔의 비밀을 찾으러 오셨군요. 저는 비의 비밀 탐색 안내자 레시오예요. 우리 눈에 보이는 색은 물감을 섞어서 만들 수 있어요. 그런데 아무렇게나 섞는 게 아니라, 두 물감을 섞는 비에 따라 색이 정해진답니다. 이 방에서는 화가 뭉크와 색을 연구하는 먼셀, 점을 찍는 화가 시냐크를 만나 색을 섞는 비의 비밀을 함께 찾아볼 거예요. 자, 함께 찾아봐요!",
1mlgkyu.mp3,munsell,c-cup,실험으로 찾은 빨강 20 밀리리터 와 노랑 50 밀리리터 를 다시 가져왔어. 여기 10 밀리리터 짜리 작은 컵이 있어. 두 비커의 물감을 이 컵으로 모두 옮겨 담으면 각각 몇 컵이 될까? 컵을 눌러서 직접 옮겨 담아 봐.,실험으로 찾은 빨강 20밀리리터와 노랑 50밀리리터를 다시 가져왔어. 여기 10밀리리터짜리 작은 컵이 있어. 두 비커의 물감을 이 컵으로 모두 옮겨 담으면 각각 몇 컵이 될까? 컵을 눌러서 직접 옮겨 담아 봐.
1mdivm9.mp3,munsell,c-cup-ask,"빨강은 두 컵, 노랑은 다섯 컵이 되었구나. 같은 양인데 세는 단위를 바꾸니 새로운 수가 보이지? 그러면 빨강과 노랑의 비는 어떻게 될까? 아래에서 골라 봐.",
pjozrm.mp3,munsell,16,뭉크는 이 색으로 더 큰 벽화도 그리고 싶대. 더 많은 양이 필요해. 두 손가락으로 벌려서 비를 그대로 크게 만들어 봐.,
r1jk9i.mp3,ratio,24,"먼셀과 함께 뭉크의 주황색을 만들고, 시냐크와 함께 점을 찍어 주황을 표현해냈군요! 잘하고 있네요! 이번에는 그 비를 수로 나타내 볼까요?",
i0oobv.mp3,ratio,Color 28,카드 문제예요. 비교하는 양과 기준량 사이에 숨은 관계가 무엇이었는지 떠올려 보세요.,
1oudb8n.mp3,ratio,Color 29,두 번째 카드 문제예요. 빨강 2컵 노랑 3컵과 빨강 4컵 노랑 6컵이 왜 같은 색이 되는지 생각해 보세요.,
1b0b30e.mp3,ratio,Color 30,세 번째 카드 문제예요. 컵 여섯 개를 부어 주황 물감 육십 밀리리터를 만들었어요. 한 컵은 몇 밀리리터일까요?,
1tcdiox.mp3,ratio,Color 31,"마지막 카드 문제예요. 지우는 빨강 둘에 노랑 셋, 민준이는 빨강 넷에 노랑 다섯으로 섞었어요. 어느 쪽 주황이 더 붉을까요? 전체에 대한 빨강의 비율을 견주어 보세요.",
6yg240.mp3,ratio,Color 32,색깔의 비밀을 모두 찾아냈어요! 카드 문제도 다 풀었으니 비밀 카드의 숫자 6을 받아요. 황금비의 둘째 자리랍니다.,
1by7vt0.mp3,ratio,Sound 19,카드 문제예요. 악기의 음을 맞출 때 무엇을 기준으로 삼았는지 떠올려 보세요.,
imbsqz.mp3,ratio,Sound 20,두 번째 카드 문제예요. 하프 공방에서 줄의 길이를 바꿀 때 소리가 어떻게 달라졌는지 떠올려 보세요.,
61wzrz.mp3,ratio,Sound 21,세 번째 카드 문제예요. 라 줄 72센티미터를 네 칸으로 똑같이 나누면 한 칸은 몇 센티미터일까요?,
1b48deu.mp3,ratio,Sound 22,"마지막 카드 문제예요. 도와 솔은 2 대 3, 도와 시는 8 대 15예요. 어느 쪽이 더 잘 어울릴까요?",
11bbpi1.mp3,ratio,Sound 23,소리의 비밀을 모두 찾아냈어요! 카드 문제도 다 풀었으니 비밀 카드의 숫자 1을 받아요. 황금비의 셋째 자리랍니다.,
op100g.mp3,ratio,Map 14,"카드 문제예요. 축척 1 대 10,000 지도에서 다리가 3센티미터로 그려져 있어요. 실제 다리의 길이는 얼마일까요?",
48ejuc.mp3,ratio,Map 15,두 번째 카드 문제예요. 에라토스테네스가 지구 둘레를 구한 방법을 떠올려 보세요.,
1grphla.mp3,ratio,Map 16,"세 번째 카드 문제예요. 축척 1 대 10,000 지도에서 1센티미터는 실제로 몇 미터를 나타낼까요? 백 센티미터가 1미터라는 것을 떠올려 보세요.",
1aoxrbx.mp3,ratio,Map 17,"마지막 카드 문제예요. 같은 크기의 종이에 그린 축척 1 대 5,000 지도와 1 대 25,000 지도가 있어요. 어느 쪽이 더 자세히 보일까요?",
1c74ass.mp3,ratio,Map 18,"와, 에라토스테네스와 함께 지구의 크기까지 재어 봤어요! 카드 문제도 모두 풀었으니 비밀 카드의 숫자 8을 받아요. 황금비의 마지막 자리랍니다.",
9571yb.mp3,ratio,Eval 1,"드디어 마지막 방이에요! 참여를 시작할 때 받은 1. 과 색깔·소리·지도 방에서 하나씩 모은 6, 1, 8 — 비밀 카드 네 장이 여기 다 모였어요. 카드에 적힌 숫자를 차례로 눌러 마지막 문을 열어 봐요!",
1ny5szs.mp3,ratio,Eval 2,"카드 네 장이 모두 모였어요! 시작할 때 받은 1. 부터 색깔, 소리, 지도 순서대로 숫자를 눌러 마지막 문을 열어 보세요.",
